Intent,Accuracy,Precision,Recall,F1 Score
Account & Customer Information Management,0.9919436052366566,0.8604651162790697,0.9487179487179487,0.9024390243902439
After Sales & Service Termination,0.9949647532729103,0.7272727272727273,0.8,0.761904761904762
Application Usage,0.9969788519637462,0.9583333333333334,0.9787234042553191,0.968421052631579
Billing,0.9919436052366566,0.9038461538461539,0.94,0.9215686274509804
Business Training and Webinar,0.9939577039274925,0.8636363636363636,0.8636363636363636,0.8636363636363636
Call Center,0.9909365558912386,0.875,0.8974358974358975,0.8860759493670887
Competitors,0.9979859013091642,0.9310344827586207,1.0,0.9642857142857143
Customer ID Number,0.9969788519637462,0.75,0.6,0.6666666666666665
Discount & Referral Incentive,0.998992950654582,0.9375,1.0,0.967741935483871
Disturbance Report,0.9939577039274925,0.8518518518518519,0.92,0.8846153846153846
FUP Indibiz,0.9979859013091642,0.9444444444444444,0.9444444444444444,0.9444444444444444
General Business Information,0.9889224572004028,0.6363636363636364,0.5,0.56
IP Services,1.0,1.0,1.0,1.0
Indibiz Package,0.9707955689828801,0.6470588235294118,0.75,0.6947368421052633
Internet Speed,0.9959718026183283,0.8421052631578947,0.9411764705882353,0.8888888888888888
Irrelevant Question,0.9848942598187311,0.5,0.7333333333333333,0.5945945945945945
Modem,0.998992950654582,1.0,0.9230769230769231,0.9600000000000001
New Installation,0.9979859013091642,0.8888888888888888,0.8888888888888888,0.8888888888888888
Number on Application,0.9949647532729103,0.9512195121951219,0.9285714285714286,0.9397590361445782
Optical Distribution Point,1.0,1.0,1.0,1.0
Order & Subscription Information,0.9929506545820745,0.9354838709677419,0.8529411764705882,0.8923076923076922
Others,0.9919436052366566,0.6666666666666666,0.4,0.5
Package Information,0.9889224572004028,0.9090909090909091,0.8928571428571429,0.9009009009009009
Package Migration,0.9959718026183283,0.9230769230769231,0.8,0.8571428571428571
Price,0.9949647532729103,1.0,0.7368421052631579,0.8484848484848484
Product & Package Differences,0.9979859013091642,0.8333333333333334,1.0,0.9090909090909091
Product Advantages and Disadvantages,0.9949647532729103,0.9166666666666666,0.9428571428571428,0.9295774647887323
Product Installation,0.9899295065458208,0.9375,0.8653846153846154,0.9
Product Reseller,0.9979859013091642,0.8333333333333334,0.8333333333333334,0.8333333333333334
Products & Services,0.9718026183282981,0.8163265306122449,0.6779661016949152,0.7407407407407407
Service Availability,0.9949647532729103,0.9583333333333334,0.9387755102040817,0.9484536082474228
Technician Survey,0.998992950654582,1.0,0.9444444444444444,0.9714285714285714
Transaction Number,0.998992950654582,0.8,1.0,0.888888888888889
Unclear Context,0.9818731117824774,0.782608695652174,0.8181818181818182,0.8
Unclear Words,0.9949647532729103,0.926829268292683,0.95,0.9382716049382716
Upgrading and Downgrading,0.9949647532729103,0.896551724137931,0.9285714285714286,0.912280701754386
Vertical Business Education,0.9949647532729103,0.875,0.6363636363636364,0.7368421052631579
myIndibiz B2B Products,0.9959718026183283,0.88,0.9565217391304348,0.9166666666666666
